path,group,category,lines,sha256
service/packages/mcp/src/tools/batch-rename-nodes.ts,packages/mcp,production,18,f89034a5ae981bac9bba9ae3707744258b2e6146f0db3d813403c8a14bc39f29
service/packages/mcp/src/tools/batch.ts,packages/mcp,production,155,c8ce28bcea3bbd9661607dd94a671a326af1434b39eac3034ccb2bf3e794b2b5
service/packages/mcp/src/tools/binary-payload.ts,packages/mcp,production,78,a228779e62a3d89942b82ed96bdf39171ae86cf833b0319a2c3d1aa445d84687
service/packages/mcp/src/tools/bind-component-property.ts,packages/mcp,production,27,50a450b192ac95c032cea73fce961505147525bb26fdf96822a3127399464e23
service/packages/mcp/src/tools/bind-variable-to-node.ts,packages/mcp,production,24,aaeba1e64df466f984342b7ee18937706144329903f8f9cb11bd04d490714d7f
service/packages/mcp/src/tools/bind-variable-to-paint.ts,packages/mcp,production,33,c2db296753aa013a6c7d5918850531ded6330eb875da28a6037cf398b8a7b02b
service/packages/mcp/src/tools/binding-schema.ts,packages/mcp,production,35,9b57408b0eb8110eea61a7f9d645aad1fd095b86229866a394f5d5c75b75b8aa
service/packages/mcp/src/tools/clone-node.ts,packages/mcp,production,18,388ddd87ff78c3aeef04376f0d667f7a315ff0aa692456f12b5806e10e09ce2f
service/packages/mcp/src/tools/combine-as-variants.ts,packages/mcp,production,26,9230c89e54399cb3fe6d1f70e00b440612ef29875c2b33154889385c56813df4
service/packages/mcp/src/tools/component-map.ts,packages/mcp,production,148,dce2d6d160aa338ee6a5202e769624d1ac1d8025cd7f6a961dc83be305663891
service/packages/mcp/src/tools/create-component.ts,packages/mcp,production,28,4809c1bf64024eba5395ebc5927a2310877714166c55822d9e1fb57718ef9e8b
service/packages/mcp/src/tools/create-effect-style.ts,packages/mcp,production,19,d4e30cfbf15cccc0a497aac718a11904e1ab9a2f6c922b83cd039b5137a1b193
service/packages/mcp/src/tools/create-ellipse.ts,packages/mcp,production,22,47104f84a3a3f2acb66e286eb4df79e86ad6373c7aef7b514b501168eb6a87b1
service/packages/mcp/src/tools/create-frame.ts,packages/mcp,production,26,ff90243286688f3e74d787e98b1eec076a3ddb4dbce7be7ee79734570fcc8449
service/packages/mcp/src/tools/create-grid-style.ts,packages/mcp,production,20,17c9ad1a0f71426797d66c027940d5ba190b542cf69678b3853fdc368153c9e5
service/packages/mcp/src/tools/create-instance.ts,packages/mcp,production,27,2be2023ea21b049c941fbe9f9aa0b4e6fe9f00ff77052b1952cdb25f2857588c
service/packages/mcp/src/tools/create-paint-style.ts,packages/mcp,production,20,4637ce4a8ccc0fbe243882227df03bab96f38d0b5f3be8651119c5013a9e2fee
service/packages/mcp/src/tools/create-rectangle.ts,packages/mcp,production,23,f2e728b6d8baa412e1b9cec282b147e044935e1d67c41fb8eb628f9b1770ad2e
service/packages/mcp/src/tools/create-section.ts,packages/mcp,production,23,58b00723e799a8f5c69c3f1d0f59af87d5943807572c60a682f94d6ccbc31be8
service/packages/mcp/src/tools/create-text-style.ts,packages/mcp,production,34,b783f0453856bf375f9ff12d279312a94baf00c5c3d8c9a5bbece091c56b447f
service/packages/mcp/src/tools/create-text.ts,packages/mcp,production,22,1b256e19a2f576c2616219c58694c3d7827ed2acf1ff5e2b0b955b0af4f4766f
service/packages/mcp/src/tools/create-variable-collection.ts,packages/mcp,production,16,860f084b07c74ac1baed9aadfd6f567362252bd19a5dffbb3eb9dd067287bea9
service/packages/mcp/src/tools/create-variable.ts,packages/mcp,production,25,85dd5c0f99b6b7286a19f253e321e36b7ba80cc4f745f933507bc7e0de8a5aee
service/packages/mcp/src/tools/delete-component-property.ts,packages/mcp,production,20,de9624091e0705152280826ea1505619d9dd75084ce93e6b27cef9c91144faf0
service/packages/mcp/src/tools/delete-nodes.ts,packages/mcp,production,18,6011fcdf610a3ae3f2f3b17a9fc4ad41aebea0c61b4bb07e928765db0b10affc
service/packages/mcp/src/tools/delete-page.ts,packages/mcp,production,17,1498028a22b077edd5a0c1a4db0604642c59e15d4f515d919a5bb24e07b00280
service/packages/mcp/src/tools/delete-style.ts,packages/mcp,production,16,6c63c82c991b75642c36b042de1c862b73017e98472b7b9b53e12a42e49f6699
service/packages/mcp/src/tools/delete-variable-collection.ts,packages/mcp,production,18,9da157d65597a657c1c511ae0c6ada69d25c8421411273dc5081d5388d610cae
service/packages/mcp/src/tools/delete-variable.ts,packages/mcp,production,18,fb7d85eb2626028851eb043ce178cb89b008523a8ad825371650ea94ff493745
service/packages/mcp/src/tools/design-context-guard.ts,packages/mcp,production,300,b0e6ed4ed1e32cdc42cb803067f4a7c298b9abe02445bcf58cfdced7002abb9f
service/packages/mcp/src/tools/design-diff.ts,packages/mcp,production,304,190193979969d887d3a161b4ffe235413f3a2ce57f994bcc05e907b42f37ba58
service/packages/mcp/src/tools/detach-instance.ts,packages/mcp,production,20,7e04d60452d4393bf8dc76f60cad18ecb854842236ec6d189c0cf5acb92cd376
service/packages/mcp/src/tools/edit-component-property.ts,packages/mcp,production,29,19b4926e4b5f4d32a723e33a0d1047b212d7df7b9b7c1a6b7930a2e0d7439ace
service/packages/mcp/src/tools/effect-schema.ts,packages/mcp,production,30,579e0fe082921c6fd156a76f88ee3a78d3acf7972266db1d1773c7f96d216f98
service/packages/mcp/src/tools/export-pdf.ts,packages/mcp,production,67,be292db55b7c6a1d697b099520fef00d864195e8395b28cede2316968b072407
service/packages/mcp/src/tools/export-video.ts,packages/mcp,production,98,070710016bb24b687599deee2e8718a57f7d89e873e1edcc987c7991cf9929ef
service/packages/mcp/src/tools/find-replace-text.ts,packages/mcp,production,20,ee267778cf09774d4961e8224c56c4b77cc4db2cc4f7435e71888e134544f4dd
